policy,episode,total_runtime,total_tasks_created,total_tasks_accepted,total_tasks_skipped,total_tasks_completed,total_reward,avg_queue_time,avg_load_imbalance,server_0_selection,server_1_selection,server_2_selection
DQN,1,0.13748455047607422,300,300,0,300,-484.97885,332.3566666666667,49.895609668507625,105.0,94.0,101.0
DQN,2,0.14018750190734863,300,300,0,300,-444.18637,340.238888888889,37.943805318840425,105.0,94.0,101.0
DQN,3,0.13131451606750488,300,300,0,300,-418.25385,327.0144444444443,33.3632373469824,105.0,94.0,101.0
DQN,4,0.17443323135375977,300,300,0,300,-459.09515,321.06222222222226,46.697350778820294,105.0,94.0,101.0
DQN,5,0.14372038841247559,300,300,0,300,-461.33737,319.1755555555556,46.98456461014346,105.0,94.0,101.0
DQN,6,0.18925952911376953,300,300,0,300,-395.37732,330.8688888888891,26.172145631221667,105.0,94.0,101.0
DQN,7,0.1677248477935791,300,300,0,300,-345.16464,329.0922222222222,13.994110594943347,105.0,94.0,101.0
DQN,8,0.12465786933898926,300,300,0,300,-463.39255,335.56555555555576,43.59578695342335,105.0,94.0,101.0
DQN,9,0.17641949653625488,300,300,0,300,-427.96103,313.4755555555555,39.06633421131945,105.0,94.0,101.0
DQN,10,0.1898038387298584,300,300,0,300,-458.24606,319.4844444444444,48.21449855885406,105.0,94.0,101.0
DQN,11,0.15961623191833496,300,300,0,300,-455.8475,337.528888888889,42.14759526709078,105.0,94.0,101.0
DQN,12,0.15921568870544434,300,300,0,300,-434.94073,322.9933333333333,40.25176380307211,105.0,94.0,101.0
DQN,13,0.17534685134887695,300,300,0,300,-404.68488,317.6588888888889,34.460721917748316,105.0,94.0,101.0
DQN,14,0.16224002838134766,300,300,0,300,-392.72287,312.88777777777784,29.686413124367895,105.0,94.0,101.0
DQN,15,0.17508912086486816,300,300,0,300,-377.38788,328.1933333333332,22.365531306675184,105.0,94.0,101.0
DQN,16,0.14281749725341797,300,300,0,300,-427.2237,329.4766666666666,38.42567588969994,105.0,94.0,101.0
DQN,17,0.14411711692810059,300,300,0,300,-404.2501,332.1488888888888,28.814112826126088,105.0,94.0,101.0
DQN,18,0.17526555061340332,300,300,0,300,-412.46176,325.5844444444445,33.1678931350083,105.0,94.0,101.0
DQN,19,0.17498230934143066,300,300,0,300,-428.33746,332.38777777777767,34.212778877546974,105.0,94.0,101.0
DQN,20,0.13818621635437012,300,300,0,300,-358.86057,326.45,18.936734216890326,105.0,94.0,101.0
DQN,21,0.16745638847351074,300,300,0,300,-443.96722,326.89666666666665,40.4387983434447,105.0,94.0,101.0
DQN,22,0.13384485244750977,300,300,0,300,-467.81082,329.5155555555557,44.365728482870026,105.0,94.0,101.0
DQN,23,0.17309188842773438,300,300,0,300,-366.8703,334.63777777777796,18.686636523498567,105.0,94.0,101.0
DQN,24,0.14336252212524414,300,300,0,300,-395.9434,335.4511111111111,31.083371298152542,105.0,94.0,101.0
DQN,25,0.13013553619384766,300,300,0,300,-460.35458,319.31000000000023,47.140763327453115,105.0,94.0,101.0
DQN,26,0.15636491775512695,300,300,0,300,-386.69785,325.2766666666668,25.540020209659993,105.0,94.0,101.0
DQN,27,0.18056130409240723,300,300,0,300,-471.3462,319.2122222222224,55.84955114278366,105.0,94.0,101.0
DQN,28,0.18650150299072266,300,300,0,300,-437.5283,327.9177777777778,42.99169693210236,105.0,94.0,101.0
DQN,29,0.14640235900878906,300,300,0,300,-425.49142,321.25999999999976,36.407780720245,105.0,94.0,101.0
DQN,30,0.15656590461730957,300,300,0,300,-414.4,332.38888888888886,32.294887728028264,105.0,94.0,101.0
DQN,31,0.17582082748413086,300,300,0,300,-375.57684,313.53333333333336,26.580401574496104,105.0,94.0,101.0
DQN,32,0.14632129669189453,300,300,0,300,-445.69727,329.77444444444467,39.52355333164198,105.0,94.0,101.0
DQN,33,0.16423678398132324,300,300,0,300,-475.56503,326.7922222222222,47.92927170603304,105.0,94.0,101.0
DQN,34,0.1429152488708496,300,300,0,300,-465.82574,331.03555555555545,48.011719422116016,105.0,94.0,101.0
DQN,35,0.1264643669128418,300,300,0,300,-349.09418,328.0100000000001,15.546417703614491,105.0,94.0,101.0
DQN,36,0.1435701847076416,300,300,0,300,-401.30518,335.3555555555557,29.042604927330395,105.0,94.0,101.0
DQN,37,0.15949177742004395,300,300,0,300,-412.2099,315.1655555555555,35.14469885159627,105.0,94.0,101.0
DQN,38,0.12674498558044434,300,300,0,300,-402.7186,318.3366666666665,32.35435569876222,105.0,94.0,101.0
DQN,39,0.13149237632751465,300,300,0,300,-526.17694,330.3144444444444,61.22813059283798,105.0,94.0,101.0
DQN,40,0.17220282554626465,300,300,0,300,-407.2652,312.56222222222215,39.59928802764937,105.0,94.0,101.0
DQN,41,0.14260482788085938,300,300,0,300,-491.9825,331.7633333333333,51.820977477151274,105.0,94.0,101.0
